GEOID,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
60002,9227,5122,977,402,24,2321,486,180,31,1784,827,441,102
60004,20228,9638,2024,897,27,5991,1085,657,114,4599,1636,668,238
60005,12598,4834,1377,457,16,3155,546,350,38,4609,1592,870,319
60007,12920,5915,1283,566,47,3645,544,224,14,3360,1660,736,323
60008,8710,4120,1255,368,8,2192,377,121,14,2398,858,497,72
60010,16631,9691,2939,1146,95,4952,741,431,26,1988,810,475,119
60012,4025,2643,596,240,34,1165,214,128,3,217,88,70,15
60013,9626,6252,1468,502,32,2261,289,116,18,1113,656,340,77
60014,17662,9929,2258,764,8,4299,562,283,28,3434,1565,872,218
60015,10242,5748,1357,644,10,2945,629,361,13,1549,847,335,94
60016,23847,8931,2677,1177,25,7400,1241,569,76,7516,3170,1695,468
60018,9812,4011,1040,406,60,3065,471,150,37,2736,763,432,133
60020,5025,2502,586,262,82,1117,160,64,104,1406,936,328,0
60021,1801,1179,210,45,0,389,20,0,28,233,185,62,0
60022,2937,1643,608,421,0,1049,345,236,0,245,84,69,5
60025,15989,7758,2156,871,48,4856,1063,547,84,3375,1719,815,419
60026,5519,2215,621,248,0,1641,269,177,14,1663,918,730,190
60029,199,110,43,7,0,85,38,24,0,4,0,0,0
60030,14244,7419,1483,415,0,4365,575,372,43,2460,979,431,80
60031,14318,7389,1370,567,0,3555,492,219,66,3374,1558,712,88
60033,4954,1842,471,223,11,1741,198,71,21,1371,622,349,76
60034,739,350,71,15,0,192,14,6,6,197,54,20,6
60035,11765,6727,2090,852,50,3124,682,413,0,1914,1016,329,167
60040,1937,538,84,44,0,411,36,10,26,988,445,237,85
60041,3533,1802,398,74,0,904,134,17,36,827,342,236,159
60042,3107,1735,517,121,0,805,90,12,0,567,307,144,11
60043,776,485,76,42,0,261,50,37,16,30,9,9,4
60044,4284,1909,468,151,12,1044,146,50,0,1331,642,291,51
60045,7497,3895,1163,434,45,2789,365,235,5,813,374,211,105
60046,12070,7181,1491,418,0,2708,425,194,4,2181,757,397,66
60047,15356,9528,2195,959,0,4171,433,209,32,1657,693,325,136
60048,10448,5974,1258,416,12,2813,449,240,17,1661,687,275,77
60050,13068,6739,1767,706,0,2979,430,150,0,3350,1635,639,149
60051,9618,5540,1220,423,21,2553,371,235,23,1525,758,373,77
60053,9111,4790,1577,673,33,2911,596,252,8,1410,616,404,275
60056,22107,9119,2194,694,59,6358,1122,492,78,6630,2978,1340,293
60060,13437,6099,1075,330,74,3787,522,247,0,3551,1173,643,315
60061,11095,4836,1258,440,1,2598,376,106,0,3661,1451,893,280
60062,16290,7528,2328,916,13,5784,1003,531,150,2978,1328,707,251
60064,5177,1269,468,205,2,916,156,75,0,2992,1237,689,409
60067,15266,7323,1852,688,16,4303,625,174,12,3640,1409,622,216
60068,15165,7718,1860,924,25,5211,1000,549,44,2236,841,379,352
60069,3551,1724,431,169,0,1179,260,155,12,648,330,252,61
60070,6190,1885,529,229,0,2025,622,140,0,2280,717,206,125
60071,1910,869,276,100,0,487,88,28,3,554,155,79,19
60072,321,215,64,21,0,87,13,5,0,19,10,7,0
60073,19930,10889,2598,1028,18,4695,646,185,18,4346,1837,1103,166
60074,14375,5685,1686,829,0,3065,478,238,17,5625,2759,1284,81
60075,21,0,0,0,0,21,21,21,0,0,0,0,0
60076,11458,5493,1561,485,17,3568,505,253,19,2397,1167,690,195
60077,10807,4033,1474,895,68,3076,664,456,41,3698,1688,913,90
60081,3302,2213,600,285,4,816,270,83,0,273,29,14,50
60083,3562,2298,621,183,77,1041,187,147,17,223,93,26,37
60084,6535,3666,770,366,17,1575,358,132,44,1294,552,219,92
60085,25514,6419,1566,737,9,5465,691,338,12,13630,5904,2354,715
60087,9695,3123,465,135,0,3039,397,115,11,3533,1267,616,57
60088,1333,7,7,0,0,0,0,0,0,1326,749,447,26
60089,16052,8462,2284,895,38,4619,608,259,29,2971,764,399,474
60090,15201,5933,1854,611,102,3359,597,267,4,5909,2480,1268,113
60091,10223,5570,1442,673,36,3456,840,401,9,1197,422,288,94
60093,7215,4187,1139,712,11,2379,563,327,40,649,320,149,103
60096,2797,1367,297,77,0,1026,185,57,20,404,249,171,11
60097,4239,2792,557,241,0,1007,107,75,13,440,143,90,11
60098,12819,6082,1424,555,39,3316,348,165,17,3421,1805,887,176
60099,11279,4456,1339,484,10,2631,528,452,52,4192,2095,1162,172
60101,13740,5228,1521,577,0,4146,630,238,71,4366,1643,813,273
60102,11788,7748,1468,429,9,2627,326,99,20,1413,473,213,117
60103,14661,9207,2033,741,28,3759,416,232,34,1695,759,405,81
60104,6120,3424,1160,625,0,1455,383,234,0,1241,746,416,19
60106,7332,2440,749,202,0,1481,184,89,17,3411,1124,560,211
60107,13030,7920,1990,644,320,3617,320,184,14,1493,673,430,100
60108,9184,4040,1103,479,98,2746,517,214,23,2398,1072,473,85
60109,193,101,33,14,0,47,6,0,0,45,16,10,6
60110,11973,5944,1400,558,0,2882,290,134,25,3147,1395,684,82
60111,94,31,14,14,0,41,0,0,0,22,0,0,4
60112,1612,1025,290,8,0,225,26,7,0,362,147,32,6
60113,92,40,11,2,0,28,0,0,0,24,2,0,6
60115,16899,4630,1175,392,0,2611,445,185,0,9658,5917,3398,711
60118,6343,3098,698,323,0,1324,247,132,0,1921,797,413,42
60119,4368,2656,598,268,0,1291,236,98,7,421,220,119,9
60120,16532,7276,1998,793,3,3569,521,323,8,5687,2374,1324,146
60123,17481,8549,1982,835,65,3929,875,266,0,5003,2208,1212,204
60124,8708,5712,1605,286,0,2465,298,154,27,531,272,145,53
60126,17792,9320,1845,716,68,4966,760,269,29,3506,1590,630,98
60129,84,45,0,0,0,24,2,0,0,15,0,0,4
60130,7035,2475,793,290,20,1298,225,104,17,3262,1267,635,188
60131,5838,2826,867,412,53,1580,405,182,0,1432,573,335,89
60133,11210,5939,1690,811,17,2586,273,159,77,2685,1170,599,206
60134,10876,6781,1675,395,12,2490,332,135,0,1605,625,340,54
60135,2888,1272,356,101,0,841,133,56,0,775,217,26,32
60136,2907,1762,281,60,170,729,70,4,0,416,251,0,0
60137,14425,7657,1925,648,0,4018,734,273,17,2750,1018,562,310
60139,11443,4964,1744,781,18,2376,332,154,7,4103,1670,1088,193
60140,7316,4848,921,294,0,1622,353,79,0,846,454,22,55
60141,169,0,0,0,0,0,0,0,0,169,103,75,0
60142,12851,6076,1313,446,26,5350,1420,735,56,1425,575,407,83
60143,4616,2289,742,172,0,988,123,58,0,1339,376,120,0
60144,31,10,0,0,0,13,8,0,0,8,5,0,0
60145,860,551,172,36,0,184,16,9,0,125,34,19,34
60146,904,447,99,38,0,229,46,13,0,228,107,105,14
60148,20442,9625,2396,877,23,4993,657,240,59,5824,2659,1321,406
60150,687,359,78,7,0,123,12,4,3,205,65,44,9
60151,1566,915,163,19,0,385,40,21,0,266,95,42,14
60152,4487,2208,545,264,0,1348,328,65,52,931,420,197,93
60153,7333,3013,1099,601,6,1421,249,190,15,2899,1392,793,317
60154,7084,4130,1008,337,0,2343,299,189,16,611,157,81,59
60155,3123,1272,317,127,0,721,261,193,30,1130,410,230,27
60156,9898,6491,1249,467,5,1873,175,54,23,1534,772,330,33
60157,920,432,117,85,0,470,87,26,0,18,0,0,10
60160,8321,2559,864,354,0,2209,381,222,58,3553,1147,475,182
60162,3050,1321,512,161,0,788,67,48,13,941,435,347,44
60163,1980,1241,316,26,0,419,226,102,0,320,219,0,0
60164,7186,3341,1204,409,36,2046,207,97,0,1799,794,446,162
60165,1203,352,100,39,0,304,102,35,12,547,209,116,52
60169,12353,5265,1340,453,9,2865,534,397,42,4223,1564,804,132
60171,4106,1445,525,272,11,1003,209,109,20,1658,543,228,191
60172,9126,5045,1160,504,43,2259,310,175,25,1822,606,310,89
60173,6576,1389,279,111,0,711,204,98,0,4476,1301,551,71
60174,12524,5545,1048,455,12,2959,308,135,41,4020,2005,943,123
60175,8862,6136,1501,495,12,2348,402,213,0,378,113,105,40
60176,4240,1328,497,207,0,937,189,74,0,1975,1077,511,62
60177,8533,5319,1190,381,10,1614,130,80,10,1600,818,515,14
60178,8699,4718,1175,405,23,1589,117,28,24,2392,686,410,13
60180,729,334,95,59,0,274,23,9,0,121,0,0,18
60181,11460,5396,1602,597,23,2556,252,98,39,3508,1144,436,264
60183,5,0,0,0,0,0,0,0,0,5,0,0,0
60184,895,630,252,63,0,218,36,29,0,47,15,4,5
60185,10611,5580,1537,550,14,2798,405,163,63,2233,1177,703,135
60187,9987,5026,1176,408,10,1963,353,190,0,2998,1149,490,208
60188,15163,7223,1892,694,14,3369,329,151,33,4571,1661,640,214
60189,12054,6375,1451,587,0,3110,485,282,0,2569,886,475,223
60190,4529,2693,473,140,11,1488,99,32,0,348,141,70,41
60191,5328,2580,714,249,0,1522,319,246,0,1226,480,262,37
60192,5933,3655,682,284,0,1699,161,36,0,579,213,119,89
60193,15709,7659,2160,1099,77,4091,545,266,8,3959,1616,591,272
60194,7884,3988,959,360,9,1713,292,155,24,2183,979,448,124
60195,2335,516,78,9,0,205,27,6,0,1614,587,212,44
60201,17363,5671,1457,645,61,3862,647,371,26,7830,4031,2570,864
60202,14024,5298,1557,750,23,2693,449,281,44,6033,2017,848,204
60203,1689,994,220,49,0,592,211,70,0,103,11,11,23
60208,0,0,0,0,0,0,0,0,0,0,0,0,0
60301,2087,251,42,12,0,116,13,13,0,1720,497,181,106
60302,14653,6283,1819,567,36,2837,414,152,79,5533,2425,1179,283
60304,6527,3411,771,290,0,1230,249,187,9,1886,654,368,93
60305,4275,2321,684,257,0,1485,495,256,14,469,291,62,65
60401,2885,1305,216,136,0,1144,191,94,19,436,140,45,14
60402,23143,9954,3446,1582,0,4874,1080,534,50,8315,3870,2014,604
60403,7651,3573,1000,562,24,1642,206,87,137,2436,1028,614,118
60404,7205,4422,1216,556,58,2353,264,48,20,430,208,169,56
60406,9164,2561,565,245,20,1931,440,206,35,4672,2053,979,292
60407,626,333,63,33,0,197,55,15,0,96,17,10,26
60408,2097,1116,204,106,0,565,45,9,0,416,188,87,62
60409,14678,4796,1771,795,120,3403,642,523,52,6479,3516,2176,362
60410,4514,3035,547,229,26,1031,87,9,9,448,112,103,19
60411,18444,6958,2427,1178,81,5085,885,500,42,6401,3573,2194,539
60415,5309,1651,353,129,0,1267,179,98,45,2391,833,305,84
60416,3693,1611,453,169,0,1292,117,25,0,790,277,116,10
60417,5936,3370,1288,373,0,1938,276,110,10,628,283,166,155
60418,5016,2213,682,396,0,1660,248,111,9,1143,399,300,278
60419,7919,3649,1564,682,50,2051,471,235,38,2219,1445,797,72
60420,1841,637,151,44,0,660,136,66,0,544,167,122,67
60421,1548,844,182,29,0,501,32,18,0,203,27,21,46
60422,3708,2535,864,65,0,1023,247,145,0,150,20,20,11
60423,10997,6831,1904,523,0,3462,674,232,42,704,211,124,184
60424,800,283,74,37,0,320,33,12,0,197,78,39,7
60425,3088,1573,531,306,26,843,194,137,13,672,340,208,84
60426,8299,2285,1057,604,0,2432,371,188,48,3582,1809,1108,449
60428,3655,1388,550,362,0,1291,235,66,42,976,799,423,27
60429,5116,2447,1009,517,35,1098,135,54,304,1571,678,350,45
60430,7302,3466,730,357,10,2346,330,170,67,1490,707,295,192
60431,8942,6198,1193,423,113,1948,172,101,16,796,331,82,45
60432,6447,2301,655,345,0,1383,131,41,0,2763,1402,750,122
60433,5252,1816,718,277,0,1557,175,66,33,1879,878,401,203
60435,18945,8275,2021,719,19,4339,491,225,94,6331,2785,1430,484
60436,6565,2656,672,298,12,1101,271,116,0,2808,1337,603,220
60437,41,25,4,0,0,14,1,0,1,2,0,0,0
60438,11303,5478,1758,797,0,2455,418,240,101,3370,1440,883,318
60439,8697,4184,960,323,13,3511,541,209,61,1002,385,136,155
60440,17404,9044,2769,941,42,4019,488,261,33,4341,2083,1050,204
60441,12580,7360,1840,689,20,3070,372,223,73,2150,866,397,127
60442,4521,2943,510,148,0,1155,84,45,4,423,238,177,30
60443,8323,4309,1468,468,1,2148,428,230,42,1866,503,333,494
60444,713,432,79,33,3,162,7,3,8,119,53,11,17
60445,6017,2919,782,450,0,1767,393,265,30,1331,1084,627,15
60446,13388,8296,2030,706,29,2755,256,92,9,2337,1295,628,118
60447,5403,3749,717,179,0,1154,114,84,0,500,314,219,0
60448,8905,5757,1438,589,0,2358,315,128,30,790,236,95,173
60449,3606,2302,730,158,0,1194,115,91,0,110,56,56,45
60450,8913,3716,823,509,0,2082,148,50,0,3115,1249,692,102
60451,12519,8200,1694,498,18,3420,421,228,54,899,347,149,131
60452,10182,5529,1442,582,6,2548,348,117,9,2105,815,289,248
60453,21745,10871,3176,1494,76,7069,1458,736,72,3805,1852,954,333
60455,6241,2111,780,314,0,1984,315,172,50,2146,1063,525,287
60456,1916,870,293,101,0,523,103,17,26,523,116,65,55
60457,5594,2300,658,328,39,1709,294,115,71,1585,637,300,104
60458,5311,1396,462,264,32,1381,452,297,33,2534,1114,690,105
60459,9674,4608,1549,574,7,3153,649,382,20,1913,790,447,177
60460,534,203,68,38,0,237,35,28,0,94,22,8,26
60461,1835,1256,465,292,9,324,130,96,0,255,244,129,0
60462,16446,7583,2166,1033,0,6199,1360,631,22,2664,1308,456,146
60463,5226,2816,750,320,0,2096,467,262,21,314,82,62,109
60464,3947,1675,454,278,24,1799,375,215,0,473,279,216,35
60465,7327,3915,1098,319,0,1916,385,92,23,1496,592,284,123
60466,8301,2775,846,522,2,2609,423,291,4,2917,1106,726,265
60467,9646,5155,1775,782,19,3834,649,384,32,657,306,238,83
60468,2258,1097,193,123,6,603,106,56,0,558,275,23,11
60469,1619,673,190,92,0,482,12,0,32,464,214,120,0
60470,170,69,7,2,0,79,12,7,0,22,0,0,2
60471,5244,2125,522,176,53,449,82,43,0,2670,1303,692,72
60472,1555,346,180,145,0,665,230,140,0,544,198,180,65
60473,7575,4760,1521,645,55,1545,310,121,48,1270,828,648,111
60474,278,130,26,11,1,121,12,3,4,27,11,10,2
60475,4326,1735,597,251,0,961,136,98,10,1630,826,447,119
60476,790,415,115,86,5,227,27,16,4,148,85,49,9
60477,15442,8167,2046,703,57,4633,671,264,67,2642,1139,690,207
60478,5418,3188,1024,557,0,983,107,74,0,1247,625,447,151
60479,290,151,20,13,0,86,8,0,1,53,14,4,4
60480,2398,1346,393,171,10,702,151,82,0,350,179,64,28
60481,4610,2094,573,245,36,1316,175,108,0,1200,469,279,172
60482,4491,1795,728,317,25,1147,203,138,15,1549,812,437,37
60484,2163,810,209,120,0,573,73,15,0,780,439,139,122
60487,9119,5596,1454,558,11,2877,376,121,11,646,261,91,0
60490,6362,4538,1068,378,0,1178,118,69,12,646,300,201,51
60491,7533,4485,1097,452,0,2537,419,194,4,511,229,175,113
60501,3813,1056,466,286,0,1334,258,147,2,1423,737,280,32
60502,8364,4762,886,415,22,1952,234,92,14,1650,774,334,0
60503,5167,3833,928,272,0,847,49,19,13,487,112,17,15
60504,14009,6623,1435,670,23,1977,183,91,89,5409,2179,1119,85
60505,17327,5646,1233,480,29,4362,520,192,83,7319,3114,1547,391
60506,17681,8153,2592,798,0,3723,542,269,49,5805,2583,1307,179
60510,10961,6120,1285,471,8,2449,352,157,27,2392,1266,630,93
60511,601,443,65,34,0,110,19,5,0,48,4,0,9
60512,418,116,56,9,0,190,0,0,0,112,80,0,0
60513,7663,4014,1191,481,0,2064,375,186,0,1585,620,257,65
60514,3926,2341,853,417,57,693,131,90,0,892,275,184,26
60515,11939,5804,1091,504,11,3378,530,214,39,2757,1165,667,180
60516,11383,5359,980,437,14,3471,481,216,41,2553,1153,350,155
60517,12822,6144,1567,768,38,2427,324,86,29,4251,1992,836,39
60518,1518,543,117,52,0,484,50,26,3,491,241,170,53
60519,32,25,7,7,0,7,0,0,0,0,0,0,0
60520,1161,617,267,41,19,296,39,16,0,248,114,70,16
60521,6000,3521,663,280,19,1833,292,195,0,646,271,168,31
60523,4203,1562,666,482,16,1794,271,188,91,847,419,166,142
60525,12288,5998,1448,542,3,3787,596,362,36,2503,930,519,170
60526,5074,2508,452,90,0,1258,192,80,7,1308,608,288,60
60527,12123,4551,1435,735,5,4889,850,372,50,2683,1124,659,315
60530,276,173,41,1,0,65,32,0,0,38,11,7,11
60531,816,368,91,26,45,181,41,24,2,267,131,119,25
60532,12702,4625,1107,370,34,2522,204,68,89,5555,1890,866,256
60534,4118,1591,507,275,13,1084,215,167,0,1443,716,347,125
60536,28,14,0,0,0,8,0,0,0,6,1,1,0
60537,254,178,21,13,0,61,1,0,0,15,0,0,2
60538,10138,6224,2281,592,29,1834,194,90,0,2080,877,452,169
60539,0,0,0,0,0,0,0,0,0,0,0,0,0
60540,15239,7287,1301,594,5,4168,448,196,87,3784,1363,852,144
60541,1088,615,161,48,2,324,16,3,7,149,28,20,19
60542,7162,3645,683,282,0,1628,123,106,10,1889,650,390,55
60543,14200,9582,1892,603,46,2658,354,229,17,1960,1291,464,77
60544,10223,5895,1603,580,18,2857,393,73,20,1471,630,322,108
60545,4713,2534,802,230,0,1066,94,59,19,1113,327,121,24
60546,6479,3094,748,229,0,1871,486,224,4,1514,538,258,167
60548,4355,1968,427,122,0,1489,219,21,0,898,314,139,108
60549,250,130,28,0,0,87,4,4,0,33,0,0,7
60550,454,198,79,19,0,120,10,8,0,136,59,35,15
60551,1470,669,132,82,8,532,25,17,0,269,122,120,22
60552,1864,1076,169,100,0,505,16,9,3,283,88,48,38
60553,237,138,13,8,0,66,3,3,0,33,13,11,16
60554,4635,2539,586,274,0,1723,322,182,14,373,139,68,112
60555,5675,3044,795,205,10,1260,285,163,28,1371,451,273,95
60556,754,444,109,18,0,186,30,2,0,124,22,12,6
60557,25,0,0,0,0,25,0,0,0,0,0,0,0
60558,4475,2940,454,124,0,1334,204,105,6,201,53,24,27
60559,10389,3653,854,303,0,2495,500,328,16,4241,1882,912,221
60560,9732,6290,1247,418,0,1838,292,77,15,1604,1155,282,10
60561,9278,4156,1030,477,6,3200,348,225,10,1922,792,292,96
60563,16200,5946,1312,517,6,2714,534,319,80,7540,2875,1453,209
60564,15804,9652,1852,707,25,4079,682,445,26,2073,526,245,67
60565,13822,8200,2047,854,8,4020,412,205,43,1602,431,277,116
60585,7635,5455,1278,351,5,1537,231,110,9,643,157,104,48
60586,14421,10925,2177,900,228,2427,268,50,75,1069,368,140,113
60601,9629,1633,586,172,60,965,0,0,0,7031,2575,1399,113
60602,551,161,21,21,0,94,24,19,0,296,176,98,0
60603,719,252,134,18,0,209,46,21,4,258,134,83,31
60604,383,75,13,5,0,89,44,22,0,219,189,118,17
60605,18822,5497,2505,1244,22,2138,330,143,0,11187,4179,1948,355
60606,2637,615,214,214,0,90,0,0,0,1932,447,193,0
60607,15037,4722,1027,457,107,1532,313,250,0,8783,3389,1744,458
60608,30070,7323,2701,1331,73,4763,1001,573,115,17984,6721,3591,972
60609,23174,5443,1804,734,83,4198,738,387,43,13533,6065,3604,1287
60610,27145,5657,1995,698,63,3644,864,506,72,17844,6344,2894,411
60611,23564,5185,2050,757,35,5034,1465,891,139,13345,5077,3054,1135
60612,14934,3386,870,379,26,1215,172,124,0,10333,4526,2532,933
60613,28784,7904,1827,623,25,2913,681,352,8,17967,6244,2817,614
60614,34603,10494,2013,961,52,5120,1049,746,240,18989,6337,2930,359
60615,22430,4373,1367,549,33,2773,566,333,152,15284,7844,4476,955
60616,25360,6361,1836,636,52,3615,727,443,32,15384,5930,3133,1226
60617,30248,9294,3027,1728,64,7703,1442,798,207,13251,6376,3910,974
60618,37745,13867,3695,1626,42,4494,1258,582,63,19384,6458,2975,865
60619,28016,7020,2567,1475,149,5115,878,540,164,15881,8908,5638,1498
60620,25896,7855,2907,1641,40,5047,1059,618,48,12994,6545,3623,1062
60621,11382,1337,615,239,18,1509,504,232,54,8536,3933,2348,1217
60622,25594,8492,2077,1023,46,2268,513,374,32,14834,4251,1958,285
60623,27450,5218,2170,1112,42,5317,1437,740,114,16915,8879,4598,1134
60624,13435,2222,905,444,71,1322,358,229,25,9891,5850,3918,979
60625,31681,9453,2742,968,34,3325,568,282,42,18903,7479,3506,565
60626,24103,4766,1317,533,51,1657,213,92,0,17680,8377,4427,674
60628,23170,7515,2461,1367,68,5879,928,550,311,9776,5193,3728,1200
60629,34229,12848,4768,2144,213,8109,1021,514,114,13272,7410,3443,531
60630,21698,9495,2839,1252,33,5398,1128,422,74,6805,2474,1080,336
60631,12144,5452,1209,614,11,3560,608,242,36,3132,1323,794,167
60632,27058,8775,3403,1674,54,6883,1142,635,20,11400,5369,2099,436
60633,4919,1824,493,253,0,1220,263,98,32,1875,809,573,302
60634,27575,12851,4337,1724,53,7548,1448,740,107,7176,3079,1652,458
60636,11444,2905,1498,821,47,2916,783,414,65,5623,3383,2061,593
60637,22628,3413,1567,1017,10,2495,499,254,7,16720,8158,4724,1588
60638,20805,9944,2465,858,151,6893,1175,616,66,3968,1637,832,372
60639,26703,8029,3497,1726,44,4676,1051,555,60,13998,6801,3954,1179
60640,37727,8320,1889,578,0,3475,731,403,65,25932,10482,5447,1306
60641,25449,9381,3044,1480,16,4008,724,311,73,12060,5247,2731,448
60642,11379,3141,574,361,45,559,116,29,46,7679,2272,928,191
60643,18289,8532,2511,1206,56,4860,713,399,13,4897,2400,1462,401
60644,18748,3747,1729,792,53,1828,428,229,47,13173,7227,4905,1229
60645,16613,5290,1718,836,49,3287,697,263,11,8036,3531,1718,567
60646,11080,5387,1829,843,0,3378,728,414,0,2315,1048,233,159
60647,38440,11614,3103,1340,61,3115,752,357,47,23711,7790,3533,801
60649,24326,3790,1472,658,58,2309,545,252,74,18227,9120,5304,1160
60651,20880,6311,2676,1492,58,3243,563,248,45,11326,6234,3704,810
60652,13353,7915,3125,1545,0,3608,567,429,31,1830,1129,819,75
60653,16833,4359,1315,507,20,843,135,55,25,11631,5619,2933,964
60654,15955,3816,1183,491,33,1677,345,207,23,10462,3130,1500,426
