GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60002,60002,ZCTA5 60002,9227,315,5122,314,977,180,402,124,24,31,2321,272,486,170,180,96,31,46,1784,305,827,200,441,166,102,62
860Z200US60004,60004,ZCTA5 60004,20228,725,9638,555,2024,305,897,235,27,33,5991,605,1085,315,657,259,114,86,4599,448,1636,358,668,239,238,111
860Z200US60005,60005,ZCTA5 60005,12598,650,4834,423,1377,295,457,134,16,25,3155,435,546,179,350,154,38,42,4609,481,1592,335,870,241,319,158
860Z200US60007,60007,ZCTA5 60007,12920,454,5915,377,1283,240,566,170,47,72,3645,441,544,164,224,102,14,25,3360,366,1660,329,736,249,323,151
860Z200US60008,60008,ZCTA5 60008,8710,367,4120,382,1255,275,368,170,8,13,2192,296,377,142,121,78,14,16,2398,382,858,271,497,190,72,65
860Z200US60010,60010,ZCTA5 60010,16631,538,9691,465,2939,371,1146,248,95,79,4952,446,741,159,431,121,26,26,1988,460,810,216,475,159,119,65
860Z200US60012,60012,ZCTA5 60012,4025,264,2643,245,596,136,240,86,34,32,1165,256,214,104,128,72,3,5,217,104,88,62,70,60,15,18
860Z200US60013,60013,ZCTA5 60013,9626,488,6252,440,1468,255,502,144,32,34,2261,303,289,96,116,63,18,20,1113,282,656,242,340,143,77,64
860Z200US60014,60014,ZCTA5 60014,17662,586,9929,505,2258,374,764,174,8,12,4299,472,562,180,283,145,28,21,3434,491,1565,326,872,257,218,100
860Z200US60015,60015,ZCTA5 60015,10242,340,5748,330,1357,233,644,159,10,15,2945,264,629,140,361,97,13,18,1549,292,847,257,335,132,94,56
860Z200US60016,60016,ZCTA5 60016,23847,751,8931,620,2677,418,1177,317,25,25,7400,758,1241,309,569,167,76,45,7516,534,3170,467,1695,386,468,233
860Z200US60018,60018,ZCTA5 60018,9812,388,4011,352,1040,214,406,139,60,83,3065,344,471,180,150,85,37,30,2736,296,763,159,432,145,133,79
860Z200US60020,60020,ZCTA5 60020,5025,471,2502,341,586,201,262,128,82,82,1117,283,160,65,64,53,104,131,1406,351,936,324,328,148,0,19
860Z200US60021,60021,ZCTA5 60021,1801,170,1179,198,210,106,45,40,0,17,389,128,20,25,0,17,28,32,233,150,185,150,62,67,0,17
860Z200US60022,60022,ZCTA5 60022,2937,161,1643,187,608,187,421,185,0,17,1049,205,345,130,236,99,0,17,245,103,84,69,69,62,5,8
860Z200US60025,60025,ZCTA5 60025,15989,583,7758,504,2156,297,871,233,48,44,4856,487,1063,251,547,190,84,75,3375,513,1719,415,815,215,419,285
860Z200US60026,60026,ZCTA5 60026,5519,404,2215,250,621,157,248,108,0,19,1641,243,269,114,177,90,14,24,1663,451,918,311,730,310,190,200
860Z200US60029,60029,ZCTA5 60029,199,60,110,44,43,36,7,8,0,12,85,36,38,25,24,22,0,12,4,8,0,12,0,12,0,12
860Z200US60030,60030,ZCTA5 60030,14244,541,7419,454,1483,277,415,150,0,26,4365,419,575,165,372,145,43,56,2460,327,979,230,431,154,80,59
860Z200US60031,60031,ZCTA5 60031,14318,449,7389,423,1370,223,567,160,0,26,3555,424,492,255,219,88,66,49,3374,283,1558,276,712,196,88,49
