,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
Census Tract 101; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,190",517,239,59,0,172,0,0,0,"1,501",758,357,0
    Margin of Error,±339,±188,±165,±94,±12,±99,±12,±12,±12,±288,±262,±223,±12
Census Tract 102.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,038",615,185,24,0,208,32,0,0,"2,215",934,350,323
    Margin of Error,±328,±227,±101,±40,±17,±129,±36,±17,±17,±357,±249,±170,±250
Census Tract 102.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,130",209,19,0,0,61,0,0,0,860,501,200,0
    Margin of Error,±160,±84,±28,±12,±12,±37,±12,±12,±12,±150,±153,±75,±12
Census Tract 103; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,185",663,123,24,0,196,36,0,0,"2,326","1,055",639,125
    Margin of Error,±305,±164,±86,±34,±17,±106,±46,±17,±17,±343,±396,±347,±156
Census Tract 104; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,058",296,124,86,0,217,35,16,0,"1,545",708,535,20
    Margin of Error,±465,±129,±75,±69,±12,±120,±40,±26,±12,±443,±430,±416,±32
Census Tract 105.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,379",227,52,28,0,114,16,16,0,"2,038",833,505,19
    Margin of Error,±302,±91,±42,±31,±12,±75,±25,±25,±12,±288,±268,±235,±30
Census Tract 105.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,637",386,56,31,0,83,21,9,0,"1,168",614,369,51
    Margin of Error,±145,±135,±42,±30,±12,±45,±24,±15,±12,±158,±124,±114,±51
Census Tract 105.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,477",81,9,9,0,96,23,23,0,"1,300",602,376,65
    Margin of Error,±125,±65,±15,±15,±12,±48,±22,±22,±12,±140,±150,±125,±42
Census Tract 106; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,066",920,150,27,23,174,0,0,0,"1,972","1,071",377,23
    Margin of Error,±303,±313,±107,±46,±35,±96,±17,±17,±17,±310,±254,±164,±39
Census Tract 107.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,652",608,226,164,0,212,32,10,0,832,389,119,0
    Margin of Error,±193,±139,±96,±95,±12,±90,±25,±15,±12,±212,±190,±60,±12
Census Tract 107.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,998",360,134,52,28,36,9,9,0,"1,602",691,345,28
    Margin of Error,±164,±129,±82,±47,±45,±32,±15,±15,±17,±182,±185,±128,±30
Census Tract 201; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,644",325,89,19,12,260,30,9,0,"1,059",461,243,25
    Margin of Error,±168,±136,±72,±23,±18,±81,±27,±16,±12,±181,±190,±162,±29
Census Tract 202; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,999","1,097",186,142,37,433,50,31,0,469,188,37,64
    Margin of Error,±266,±280,±109,±99,±60,±137,±46,±35,±17,±172,±140,±61,±81
Census Tract 203.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,093",857,373,134,0,712,257,97,11,524,247,174,35
    Margin of Error,±260,±283,±218,±88,±12,±158,±111,±58,±18,±164,±138,±128,±36
Census Tract 203.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,711",602,249,166,0,463,103,52,0,646,289,79,14
    Margin of Error,±193,±191,±102,±95,±12,±105,±68,±55,±12,±129,±90,±48,±23
Census Tract 204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,707",459,121,88,0,338,37,30,0,910,439,243,35
    Margin of Error,±202,±106,±66,±59,±12,±101,±41,±39,±12,±229,±183,±99,±50
Census Tract 205; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,184",403,202,75,0,279,14,14,0,"1,502",705,463,143
    Margin of Error,±321,±137,±120,±59,±17,±128,±22,±22,±17,±364,±310,±262,±114
Census Tract 206.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,052",543,316,184,0,404,141,32,0,"1,105",514,285,90
    Margin of Error,±287,±175,±150,±130,±17,±187,±85,±35,±17,±323,±176,±131,±86
Census Tract 206.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,611",552,85,29,0,366,79,12,0,693,296,96,43
    Margin of Error,±333,±289,±59,±29,±17,±125,±59,±18,±17,±228,±148,±72,±40
Census Tract 207.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,748,257,64,27,0,278,106,101,0,213,92,54,23
    Margin of Error,±157,±54,±41,±34,±12,±150,±145,±145,±12,±64,±48,±34,±37
Census Tract 207.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,487",475,260,77,0,640,101,58,16,"1,372",525,332,22
    Margin of Error,±263,±222,±164,±71,±17,±289,±103,±81,±25,±263,±191,±168,±41
Census Tract 208.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,164",572,274,138,0,372,51,12,0,"1,220",590,264,0
    Margin of Error,±355,±178,±132,±103,±17,±169,±49,±22,±17,±388,±192,±144,±17
Census Tract 208.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,125",438,248,176,0,260,93,28,0,"1,427",542,249,90
    Margin of Error,±226,±229,±182,±152,±17,±135,±85,±43,±17,±235,±167,±152,±89
Census Tract 209.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,212",596,215,73,0,238,58,58,0,"1,378",601,335,57
    Margin of Error,±284,±236,±120,±86,±17,±109,±51,±51,±17,±281,±176,±164,±92
Census Tract 209.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,564",272,142,98,0,481,88,80,0,811,416,218,113
    Margin of Error,±202,±104,±87,±81,±12,±117,±57,±55,±12,±221,±202,±169,±81
